"storyID","mediaType","mediaLocation"
"287","cover","clean/287_cover.jpg"
"289","cover","clean/289_cover.jpg"
"325","cover","clean/325_cover.jpg"
"325","audioMissing","./uploads/parte-7.mp3"
"321","cover","clean/321_cover.jpg"
"321","audioMissing","./uploads/parte 3.mp3"
"324","cover","clean/324_cover.jpg"
"324","audioMissing","./uploads/parte-6.mp3"
"322","cover","clean/322_cover.jpg"
"322","audioMissing","./uploads/parte 4.mp3"
"318","cover","clean/318_cover.jpg"
"318","audioMissing","./uploads/parte 2.mp3"
"317","cover","clean/317_cover.jpg"
"317","audioMissing","./uploads/parte-1.mp3"
"167","cover","clean/167_cover.jpg"
"170","cover","clean/170_cover.jpg"
"168","cover","clean/168_cover.jpg"
"185","cover","clean/185_cover.jpg"
"184","cover","clean/184_cover.jpg"
"183","cover","clean/183_cover.jpg"
"179","cover","clean/179_cover.jpg"
"180","cover","clean/180_cover.jpg"
"181","cover","clean/181_cover.jpg"
"182","cover","clean/182_cover.jpg"
"178","cover","clean/178_cover.jpg"
